,age,job,marital,education,default,y
68,55,technician,married,secondary,no,no
69,35,blue-collar,single,secondary,no,no
70,57,blue-collar,married,secondary,no,no
71,31,services,married,secondary,no,no
72,54,management,married,secondary,no,no
73,55,blue-collar,married,primary,no,no
74,43,technician,married,secondary,no,no
75,53,technician,married,secondary,no,no
76,44,blue-collar,married,secondary,no,no
77,55,services,divorced,secondary,no,no
78,49,services,divorced,secondary,no,no
79,55,services,divorced,secondary,yes,no
80,45,admin.,single,secondary,no,no
81,47,services,divorced,secondary,no,no
82,42,technician,single,secondary,no,no
83,59,admin.,married,secondary,no,yes
84,46,self-employed,married,tertiary,no,no
85,51,blue-collar,married,primary,no,no
86,56,admin.,married,secondary,no,yes
87,41,technician,married,secondary,no,yes
88,46,management,divorced,secondary,no,no
89,57,retired,married,secondary,no,no
90,42,management,single,secondary,no,no
91,30,technician,married,secondary,no,no
92,60,admin.,married,secondary,no,no
93,60,blue-collar,married,unknown,no,no
94,57,entrepreneur,divorced,secondary,no,no
95,36,management,married,tertiary,no,no
96,55,blue-collar,married,secondary,no,no
97,60,retired,married,tertiary,no,no
98,39,technician,married,secondary,no,no
99,46,management,married,tertiary,no,no
100,44,blue-collar,married,secondary,no,no
101,53,blue-collar,married,primary,no,no
102,52,blue-collar,married,primary,no,no
103,59,blue-collar,married,primary,no,no
104,27,technician,single,tertiary,no,no
105,44,blue-collar,married,secondary,no,no
106,47,technician,married,tertiary,no,no
107,34,admin.,married,secondary,no,no
108,59,retired,single,secondary,no,no
109,45,management,married,tertiary,no,no
110,29,services,divorced,secondary,no,no
111,46,technician,divorced,secondary,no,no
112,56,self-employed,married,primary,no,no
113,36,blue-collar,married,primary,no,no
114,59,retired,divorced,primary,no,no
115,44,blue-collar,married,secondary,no,no
116,41,admin.,married,secondary,no,no
117,33,management,single,tertiary,no,no
118,59,management,divorced,tertiary,no,no
119,57,technician,married,primary,no,no
120,56,technician,divorced,unknown,no,no
121,51,blue-collar,married,secondary,no,no
122,34,admin.,married,unknown,no,no
123,43,services,married,secondary,no,no
124,52,technician,married,tertiary,no,no
125,33,technician,single,secondary,no,no
126,29,admin.,single,secondary,no,no
127,34,services,married,secondary,no,no
128,31,blue-collar,married,secondary,no,no
129,55,services,married,secondary,no,yes
130,55,management,married,unknown,no,no
131,32,admin.,single,secondary,no,no
132,38,technician,single,secondary,no,no
133,55,admin.,single,secondary,no,no
134,28,unemployed,single,tertiary,no,no
135,23,blue-collar,married,secondary,no,no
136,32,technician,single,secondary,no,no
137,43,services,single,unknown,no,no
138,32,blue-collar,married,secondary,no,no
139,46,blue-collar,married,secondary,no,no
140,53,housemaid,divorced,primary,no,no
141,34,self-employed,single,secondary,no,no
142,57,unemployed,married,tertiary,no,no
143,37,blue-collar,married,secondary,no,no
144,59,blue-collar,married,secondary,no,no
145,33,services,married,secondary,no,no
146,56,blue-collar,divorced,primary,no,no
147,48,unemployed,married,secondary,no,no
148,43,services,married,primary,no,no
149,54,blue-collar,married,primary,no,no
150,51,blue-collar,married,unknown,no,no
151,26,student,single,secondary,no,no
152,40,management,married,tertiary,no,no
153,39,management,married,secondary,no,no
154,50,technician,married,primary,no,no
155,41,services,married,secondary,no,no
156,51,blue-collar,married,unknown,no,no
157,60,retired,divorced,secondary,no,no
158,52,blue-collar,married,secondary,no,no
159,48,blue-collar,married,secondary,no,no
160,48,services,married,unknown,no,no
161,39,technician,single,tertiary,no,no
162,47,services,single,secondary,no,no
163,40,blue-collar,married,secondary,no,no
164,45,technician,married,secondary,no,no
165,26,admin.,single,secondary,no,no
166,52,management,married,tertiary,no,no
167,54,technician,married,secondary,no,no
168,54,admin.,married,tertiary,no,yes
169,50,blue-collar,married,primary,no,no
170,35,blue-collar,married,secondary,no,no
171,44,services,married,secondary,no,no
172,53,entrepreneur,married,unknown,no,no
173,35,retired,single,primary,no,no
174,60,admin.,divorced,secondary,no,no
175,53,admin.,divorced,secondary,no,no
176,48,unemployed,married,secondary,no,no
177,34,technician,married,secondary,no,no
178,54,services,married,secondary,no,no
179,51,management,married,secondary,no,no
180,31,services,married,tertiary,no,no
181,35,technician,divorced,secondary,no,no
182,35,services,married,secondary,no,no
183,38,technician,married,secondary,no,no
184,36,admin.,married,tertiary,no,no
185,58,retired,married,primary,no,no
186,40,services,divorced,unknown,no,no
187,54,management,married,secondary,no,no
188,34,blue-collar,single,secondary,no,no
189,31,management,single,tertiary,no,no
190,51,retired,married,secondary,no,no
191,33,management,married,tertiary,no,no
192,55,management,married,tertiary,no,no
193,42,admin.,married,secondary,no,no
194,34,blue-collar,married,secondary,no,no
195,33,blue-collar,single,secondary,no,no
196,38,services,married,secondary,no,no
197,50,technician,divorced,tertiary,no,no
198,43,management,married,tertiary,no,no
199,61,blue-collar,divorced,primary,no,no
200,47,admin.,married,secondary,no,no
201,48,self-employed,married,tertiary,no,no
202,44,blue-collar,married,secondary,no,no
203,35,student,single,unknown,no,no
204,35,services,married,secondary,no,no
205,50,services,married,secondary,no,no
206,41,management,married,tertiary,no,no
207,41,management,married,tertiary,no,no
208,39,services,single,unknown,no,no
209,42,retired,married,secondary,no,no
210,38,blue-collar,married,secondary,no,no
211,53,retired,married,secondary,no,no
212,59,housemaid,divorced,primary,no,no
213,36,services,married,secondary,no,no
214,54,blue-collar,married,primary,no,no
215,40,technician,married,tertiary,no,no
216,47,unknown,married,unknown,no,no
217,53,unemployed,married,unknown,no,no
218,46,housemaid,married,primary,no,no
219,39,management,married,tertiary,no,no
220,40,unemployed,married,secondary,no,no
221,28,blue-collar,married,primary,no,no
222,35,entrepreneur,divorced,secondary,no,no
223,55,retired,married,secondary,no,no
224,43,technician,divorced,unknown,no,no
225,48,blue-collar,married,primary,no,no
226,58,management,married,unknown,no,no
227,33,management,single,tertiary,no,no
228,36,blue-collar,married,unknown,no,no
229,53,services,divorced,secondary,no,no
230,47,blue-collar,married,primary,no,no
231,31,services,married,secondary,no,no
232,57,entrepreneur,married,secondary,no,no
233,53,blue-collar,married,unknown,no,no
234,55,blue-collar,married,primary,no,no
235,45,blue-collar,married,primary,no,no
236,53,admin.,divorced,secondary,no,no
237,37,blue-collar,married,primary,no,no
238,44,admin.,divorced,secondary,no,no
239,49,blue-collar,divorced,primary,no,no
240,46,technician,married,secondary,no,no
241,43,entrepreneur,married,unknown,no,no
242,38,admin.,married,secondary,no,no
243,43,technician,married,secondary,no,no
244,49,management,married,tertiary,no,no
245,42,management,married,unknown,no,no
246,22,blue-collar,single,secondary,no,no
247,40,management,married,tertiary,no,no
248,39,blue-collar,married,secondary,no,no
249,51,services,married,secondary,no,no
250,49,admin.,married,secondary,no,no
251,53,blue-collar,married,secondary,no,no
252,34,services,single,secondary,no,no
253,33,technician,divorced,secondary,no,no
254,50,management,single,tertiary,no,no
255,39,blue-collar,married,primary,no,no
256,59,entrepreneur,divorced,secondary,no,no
257,30,technician,single,secondary,no,no
258,36,services,married,secondary,no,no
259,40,blue-collar,married,secondary,no,no
260,53,blue-collar,married,secondary,no,no
261,34,management,single,tertiary,no,no
262,37,technician,married,secondary,no,no
263,42,management,divorced,tertiary,no,no
264,41,entrepreneur,married,primary,no,no
265,30,student,single,tertiary,no,no
266,37,management,single,tertiary,no,no
267,39,admin.,divorced,secondary,no,no
268,41,blue-collar,married,primary,no,no
269,40,blue-collar,married,primary,no,no
270,42,management,single,tertiary,no,yes
271,40,blue-collar,divorced,primary,no,no
272,57,technician,married,secondary,no,no
273,56,entrepreneur,divorced,secondary,no,no
274,37,admin.,married,secondary,no,no
275,59,retired,married,secondary,no,no
276,39,services,divorced,secondary,no,no
277,49,services,married,secondary,no,no
278,38,services,single,secondary,no,no
279,36,self-employed,married,tertiary,no,no
280,50,blue-collar,married,primary,no,no
281,41,admin.,married,secondary,no,no
282,54,technician,married,tertiary,no,no
283,58,blue-collar,married,primary,no,no
284,30,blue-collar,single,secondary,no,no
285,33,admin.,single,secondary,no,no
286,47,admin.,married,secondary,no,no
287,50,technician,single,tertiary,no,no
288,32,blue-collar,married,secondary,no,no
289,40,self-employed,married,secondary,no,no
290,37,management,married,tertiary,no,no
291,54,technician,single,unknown,no,no
292,24,student,single,secondary,no,no
293,54,management,married,tertiary,no,no
294,34,technician,married,secondary,no,no
295,56,technician,divorced,primary,no,no
296,31,blue-collar,single,secondary,no,no
297,24,student,single,secondary,no,no
298,42,blue-collar,divorced,primary,no,no
299,57,technician,married,secondary,no,no
300,42,blue-collar,married,unknown,no,no
301,51,admin.,married,secondary,no,no
302,57,retired,married,secondary,no,no
303,36,services,single,secondary,no,no
304,53,services,married,unknown,no,no
305,50,technician,married,secondary,no,no
306,54,management,married,tertiary,no,no
307,55,blue-collar,married,secondary,no,no
308,44,blue-collar,married,secondary,no,no
309,43,management,married,unknown,no,no
310,56,admin.,married,secondary,no,no
311,54,technician,married,unknown,no,no
312,55,services,divorced,primary,no,no
313,37,services,divorced,secondary,no,no
314,33,admin.,single,tertiary,no,no
315,46,admin.,married,secondary,no,no
316,36,blue-collar,married,secondary,no,no
317,51,technician,single,secondary,no,no
318,40,retired,single,primary,no,no
319,42,blue-collar,married,secondary,no,no
320,51,blue-collar,married,secondary,no,no
321,49,blue-collar,married,unknown,no,no
322,48,management,married,secondary,no,no
323,32,technician,divorced,tertiary,no,no
324,31,admin.,single,secondary,no,no
325,55,management,single,tertiary,no,no
326,40,blue-collar,single,secondary,no,no
327,47,technician,married,tertiary,no,no
328,57,technician,married,unknown,no,no
329,41,blue-collar,married,secondary,no,no
330,48,blue-collar,married,secondary,no,no
331,42,blue-collar,married,unknown,no,no
332,30,blue-collar,single,secondary,no,no
333,58,management,single,tertiary,no,no
334,45,management,divorced,tertiary,no,no
335,49,blue-collar,married,secondary,no,no
336,42,admin.,single,secondary,no,no
337,53,technician,married,secondary,no,no
338,51,admin.,single,secondary,yes,no
339,32,services,single,secondary,no,no
340,41,blue-collar,single,secondary,no,no
341,43,management,divorced,secondary,no,no
342,40,blue-collar,divorced,secondary,no,no
343,50,blue-collar,married,primary,no,no
344,34,management,married,tertiary,no,no
345,53,services,married,unknown,no,no
346,45,technician,married,secondary,no,no
347,39,blue-collar,married,primary,no,no
348,44,services,married,tertiary,no,no
349,55,management,married,tertiary,no,no
350,46,management,single,tertiary,no,no
351,45,blue-collar,married,secondary,no,no
352,34,admin.,married,secondary,no,no
353,36,blue-collar,married,secondary,no,no
354,59,unknown,divorced,unknown,no,no
355,31,admin.,single,secondary,no,no
356,44,blue-collar,single,secondary,no,no
357,33,entrepreneur,single,tertiary,no,no
358,40,blue-collar,married,secondary,no,no
359,46,admin.,single,tertiary,no,no
360,48,management,married,tertiary,no,no
361,42,services,married,secondary,no,no
362,27,services,married,secondary,no,no
363,48,admin.,married,secondary,no,no
364,59,admin.,married,secondary,no,no
365,46,technician,married,tertiary,no,no
366,38,admin.,divorced,secondary,no,no
367,43,management,divorced,tertiary,no,no
368,38,admin.,divorced,tertiary,no,no
369,23,student,single,secondary,no,no
370,34,services,married,secondary,no,no
371,38,admin.,married,secondary,no,no
372,37,blue-collar,married,secondary,no,no
373,25,admin.,single,secondary,no,no
374,48,blue-collar,married,unknown,no,no
375,49,blue-collar,single,secondary,no,no
376,38,admin.,single,secondary,no,no
377,43,blue-collar,married,primary,no,no
378,33,management,married,tertiary,no,no
379,55,blue-collar,married,secondary,no,no
380,38,blue-collar,married,secondary,no,no
381,49,services,married,secondary,no,no
382,40,management,married,secondary,no,no
383,43,admin.,married,unknown,no,no
384,38,blue-collar,married,secondary,no,no
385,58,services,married,secondary,no,no
386,57,technician,married,unknown,no,no
387,32,unemployed,married,secondary,no,no
388,56,management,married,tertiary,no,yes
389,58,blue-collar,divorced,unknown,no,no
390,60,retired,divorced,secondary,no,yes
391,37,technician,married,tertiary,no,no
392,46,technician,divorced,tertiary,no,no
393,27,admin.,married,secondary,no,no
394,43,blue-collar,married,secondary,no,no
395,32,technician,single,secondary,no,no
396,40,admin.,single,secondary,no,no
397,38,admin.,married,secondary,no,no
398,34,blue-collar,married,secondary,no,no
399,47,blue-collar,married,primary,no,no
400,42,housemaid,married,primary,no,no
401,48,technician,married,secondary,no,no
402,29,self-employed,single,tertiary,no,no
403,50,services,married,secondary,no,no
404,52,technician,married,unknown,no,no
405,50,management,married,tertiary,no,no
406,58,retired,married,tertiary,no,no
407,46,blue-collar,divorced,primary,no,no
408,38,technician,married,secondary,no,no
409,46,blue-collar,married,secondary,no,no
410,32,services,single,secondary,no,no
411,51,blue-collar,married,primary,no,no
412,39,admin.,single,secondary,no,no
413,48,admin.,married,secondary,no,no
414,36,entrepreneur,married,tertiary,no,no
415,34,admin.,divorced,secondary,no,no
416,40,technician,married,secondary,no,no
417,43,unemployed,married,secondary,no,no
418,52,blue-collar,divorced,primary,no,no
419,33,technician,married,secondary,yes,no
420,49,management,single,tertiary,no,no
421,32,management,single,tertiary,no,no
422,39,admin.,single,secondary,no,no
423,40,blue-collar,married,secondary,no,no
424,38,technician,single,tertiary,no,no
425,43,management,married,secondary,no,no
426,39,services,married,secondary,no,no
427,54,blue-collar,married,primary,no,no
428,38,technician,single,tertiary,no,no
429,40,blue-collar,married,secondary,no,no
430,55,admin.,married,secondary,no,no
431,42,management,married,tertiary,no,no
432,39,blue-collar,married,secondary,no,no
433,40,blue-collar,married,primary,no,no
434,32,blue-collar,married,secondary,no,no
435,55,admin.,married,secondary,no,no
436,45,blue-collar,married,secondary,no,no
437,35,management,single,tertiary,no,no
438,58,technician,divorced,secondary,no,no
439,35,admin.,married,secondary,no,no
440,49,services,married,primary,no,no
441,34,technician,single,tertiary,no,no
442,36,blue-collar,married,secondary,no,no
443,24,self-employed,single,secondary,no,no
444,34,technician,married,secondary,no,no
445,51,admin.,divorced,secondary,no,no
446,39,technician,single,unknown,no,yes
447,50,self-employed,married,unknown,no,no
448,32,services,single,secondary,no,no
449,42,blue-collar,married,unknown,no,no
450,50,technician,married,secondary,no,no
451,40,services,married,secondary,no,no
452,46,management,divorced,unknown,no,no
453,37,management,married,tertiary,no,no
454,34,blue-collar,married,secondary,no,no
455,44,blue-collar,married,secondary,no,no
456,40,admin.,single,secondary,no,no
457,37,technician,married,secondary,no,yes
458,33,blue-collar,single,secondary,yes,no
459,35,blue-collar,married,secondary,no,no
460,58,blue-collar,divorced,secondary,no,no
461,39,blue-collar,married,primary,no,no
462,43,blue-collar,married,secondary,no,no
463,39,unemployed,married,primary,no,no
464,36,services,single,primary,no,no
465,57,retired,single,secondary,no,no
466,36,admin.,single,secondary,no,no
467,50,blue-collar,married,primary,no,no
468,55,blue-collar,married,secondary,no,no
469,44,self-employed,married,tertiary,no,no
470,44,services,divorced,secondary,no,no
471,39,housemaid,single,primary,no,no
472,46,blue-collar,married,unknown,no,no
473,39,blue-collar,married,secondary,no,no
474,34,admin.,married,secondary,no,yes
475,40,blue-collar,married,primary,no,no
476,50,management,married,tertiary,no,no
477,31,management,single,secondary,no,no
478,37,admin.,single,secondary,no,no
479,39,management,single,secondary,no,no
480,51,blue-collar,married,primary,no,no
481,41,technician,married,secondary,no,no
482,41,technician,married,secondary,no,no
483,43,blue-collar,married,secondary,no,no
484,30,services,single,secondary,no,no
485,54,management,divorced,primary,no,no
486,43,blue-collar,divorced,secondary,no,no
487,59,management,divorced,tertiary,no,no
488,47,technician,married,unknown,no,no
489,40,blue-collar,married,primary,no,no
490,32,technician,married,secondary,no,no
491,29,blue-collar,married,secondary,no,no
492,36,blue-collar,married,secondary,no,no
493,55,unemployed,married,tertiary,no,no
494,30,blue-collar,divorced,secondary,no,no
495,39,admin.,single,secondary,no,no
496,39,blue-collar,divorced,secondary,no,no
497,50,blue-collar,divorced,secondary,no,no
498,44,blue-collar,married,secondary,no,no
499,37,technician,single,secondary,no,no
500,46,admin.,married,primary,no,no
501,32,technician,single,unknown,no,no
502,37,management,single,tertiary,no,no
503,29,blue-collar,married,secondary,no,no
504,41,blue-collar,married,secondary,no,no
505,45,blue-collar,married,primary,no,no
506,57,retired,divorced,secondary,no,no
507,48,blue-collar,single,secondary,no,no
508,60,retired,married,secondary,yes,no
509,26,admin.,single,secondary,no,no
510,58,retired,married,secondary,no,no
511,34,admin.,married,secondary,no,no
512,55,unemployed,divorced,secondary,no,yes
513,41,blue-collar,married,primary,no,no
514,50,management,divorced,secondary,no,no
515,49,entrepreneur,married,secondary,no,no
516,44,admin.,married,unknown,no,no
517,44,blue-collar,married,primary,no,no
518,31,technician,married,secondary,no,no
519,34,blue-collar,single,tertiary,no,no
520,46,management,single,unknown,no,no
521,42,management,married,tertiary,no,no
522,52,admin.,married,secondary,no,no
523,29,management,single,tertiary,no,no
524,53,retired,married,primary,no,no
525,43,blue-collar,married,secondary,no,no
526,38,management,married,secondary,no,no
527,46,management,married,tertiary,no,no
528,48,management,divorced,unknown,no,no
529,30,admin.,divorced,secondary,no,no
530,44,blue-collar,married,primary,no,no
531,31,housemaid,married,primary,no,no
532,42,services,single,secondary,no,no
533,40,management,single,tertiary,no,no
534,52,admin.,married,secondary,no,no
535,45,blue-collar,divorced,secondary,no,no
536,48,blue-collar,married,secondary,no,no
537,45,blue-collar,married,primary,no,no
538,34,blue-collar,married,unknown,no,no
539,34,blue-collar,married,primary,no,no
540,46,blue-collar,married,secondary,no,no
541,49,services,divorced,secondary,no,no
542,50,technician,married,primary,no,no
543,34,admin.,single,secondary,no,no
544,40,unemployed,single,secondary,no,no
545,36,admin.,married,secondary,no,no
546,59,blue-collar,divorced,unknown,no,no
547,45,blue-collar,married,secondary,no,no
548,36,self-employed,married,tertiary,no,no
549,56,services,married,secondary,no,no
550,42,services,divorced,secondary,no,no
551,30,admin.,married,secondary,no,no
552,30,student,single,tertiary,no,no
553,47,self-employed,married,unknown,no,no
554,33,blue-collar,married,secondary,no,no
555,36,admin.,married,secondary,no,no
556,39,services,divorced,primary,no,no
557,56,admin.,divorced,secondary,no,no
558,39,blue-collar,divorced,unknown,no,no
559,42,technician,married,secondary,no,no
560,52,blue-collar,married,secondary,no,no
561,36,admin.,divorced,secondary,no,no
562,35,entrepreneur,married,secondary,yes,no
563,47,technician,married,secondary,no,no
564,59,services,divorced,secondary,no,no
565,57,blue-collar,married,primary,no,no
566,38,management,married,unknown,no,no
567,46,unemployed,married,secondary,no,no
568,34,blue-collar,married,secondary,no,no
569,28,services,single,secondary,no,yes
570,38,technician,married,unknown,no,no
571,56,blue-collar,married,secondary,no,no
572,41,blue-collar,single,primary,yes,no
573,52,technician,married,unknown,no,no
574,54,services,married,secondary,no,no
575,61,retired,married,secondary,no,no
576,53,entrepreneur,married,secondary,no,no
577,47,technician,married,secondary,no,no
578,53,blue-collar,married,primary,no,no
579,46,services,married,secondary,no,no
580,39,blue-collar,divorced,primary,no,no
581,56,technician,divorced,secondary,no,no
582,55,services,divorced,primary,no,no
583,44,management,married,tertiary,no,no
584,37,technician,married,primary,no,no
585,35,blue-collar,married,primary,no,no
586,55,blue-collar,married,secondary,no,no
587,37,services,married,secondary,no,no
588,30,technician,single,secondary,no,no
589,37,blue-collar,married,primary,no,no
590,36,technician,single,secondary,no,no
591,38,technician,married,secondary,no,no
592,41,admin.,divorced,primary,no,no
593,48,retired,married,secondary,no,no
594,55,services,divorced,secondary,no,no
595,28,services,divorced,secondary,no,no
596,54,services,married,secondary,yes,no
597,30,blue-collar,married,secondary,no,no
598,48,technician,married,tertiary,no,no
599,31,self-employed,married,secondary,no,no
600,38,blue-collar,married,secondary,no,no
601,37,blue-collar,married,secondary,no,no
602,37,services,single,unknown,no,no
603,56,blue-collar,married,primary,no,no
604,51,blue-collar,married,secondary,no,no
605,39,blue-collar,married,secondary,no,no
606,49,technician,married,unknown,no,no
607,51,blue-collar,married,primary,no,no
608,43,self-employed,married,secondary,no,no
609,32,services,married,secondary,no,no
610,29,technician,single,tertiary,no,no
611,48,management,divorced,tertiary,no,no
612,55,services,married,primary,no,no
613,53,blue-collar,married,secondary,no,no
614,47,technician,married,unknown,no,no
615,39,management,married,tertiary,no,no
616,31,blue-collar,single,tertiary,no,no
617,39,blue-collar,married,primary,no,no
618,40,blue-collar,married,primary,no,no
619,40,technician,single,unknown,no,no
620,48,technician,married,secondary,no,no
621,33,technician,divorced,secondary,no,no
622,40,technician,married,secondary,no,no
623,59,retired,married,primary,no,no
624,30,technician,married,secondary,no,yes
625,31,management,single,tertiary,no,no
626,35,unemployed,married,secondary,no,no
627,54,technician,divorced,secondary,no,no
628,34,admin.,single,unknown,no,no
629,32,technician,married,secondary,no,no
630,56,admin.,divorced,unknown,no,no
631,32,admin.,single,tertiary,no,no
632,42,blue-collar,married,primary,no,no
633,33,services,married,tertiary,no,no
634,52,entrepreneur,married,tertiary,no,no
635,52,services,married,secondary,no,no
636,52,blue-collar,divorced,primary,yes,no
637,30,unemployed,divorced,secondary,no,no
638,44,services,divorced,secondary,no,no
639,35,admin.,married,secondary,no,no
640,55,management,single,secondary,no,no
641,33,blue-collar,married,primary,no,no
642,37,blue-collar,single,secondary,no,no
643,42,technician,single,secondary,no,no
644,43,unemployed,married,secondary,no,no
645,38,entrepreneur,married,tertiary,no,no
646,37,technician,married,secondary,no,no
647,31,student,single,secondary,no,no
648,41,management,married,tertiary,no,no
649,41,technician,married,secondary,no,no
650,29,student,single,secondary,no,no
651,38,admin.,single,secondary,no,no
652,44,self-employed,divorced,tertiary,no,no
653,39,admin.,married,secondary,no,no
654,28,technician,single,secondary,no,no
655,33,blue-collar,married,secondary,no,no
656,41,services,married,unknown,no,no
657,40,blue-collar,married,primary,no,no
658,29,admin.,married,secondary,no,no
659,38,management,married,unknown,no,no
660,32,admin.,married,tertiary,no,no
661,45,services,married,secondary,no,no
662,33,admin.,single,secondary,no,no
663,34,blue-collar,married,secondary,no,no
664,41,entrepreneur,married,unknown,no,no
665,41,blue-collar,married,secondary,no,no
666,35,admin.,single,secondary,no,no
667,40,technician,single,secondary,no,no
668,60,self-employed,married,primary,no,no
669,47,services,divorced,secondary,no,no
670,46,blue-collar,married,primary,no,no
671,31,blue-collar,single,secondary,no,no
672,49,self-employed,married,secondary,no,no
673,29,blue-collar,married,secondary,no,no
674,31,management,single,tertiary,no,no
675,38,management,married,tertiary,no,no
676,37,blue-collar,married,primary,no,no
677,35,technician,married,secondary,no,no
678,31,management,single,secondary,no,no
679,41,admin.,married,secondary,no,no
680,46,services,married,unknown,no,no
681,40,services,divorced,secondary,no,no
682,29,admin.,married,secondary,no,no
683,49,admin.,married,secondary,no,no
684,42,management,married,tertiary,no,no
685,54,services,married,secondary,no,no
686,40,management,single,tertiary,no,no
687,53,admin.,married,secondary,no,no
688,49,management,married,tertiary,no,no
689,40,blue-collar,married,primary,yes,no
690,29,student,single,secondary,no,no
691,36,blue-collar,married,primary,no,no
692,37,technician,married,secondary,no,no
693,39,services,married,secondary,no,no
694,36,technician,married,secondary,no,yes
695,44,entrepreneur,married,tertiary,no,no
696,40,admin.,married,secondary,no,no
697,49,blue-collar,married,secondary,no,no
698,30,technician,single,unknown,no,no
699,57,management,married,tertiary,no,no
700,24,services,single,secondary,no,no
701,46,blue-collar,married,unknown,no,no
702,33,admin.,married,secondary,no,no
703,43,services,divorced,secondary,no,no
704,43,admin.,single,secondary,no,no
705,40,blue-collar,divorced,primary,no,no
706,44,technician,single,unknown,no,no
707,35,technician,single,tertiary,no,no
708,47,technician,married,secondary,no,no
709,33,blue-collar,married,secondary,no,no
710,31,admin.,married,secondary,no,no
711,40,blue-collar,divorced,secondary,no,no
712,36,entrepreneur,married,tertiary,no,no
713,56,retired,divorced,primary,no,no
714,40,admin.,single,unknown,no,no
715,41,admin.,divorced,secondary,no,no
716,53,retired,married,secondary,no,no
717,39,blue-collar,married,secondary,no,no
718,44,blue-collar,divorced,secondary,no,no
719,38,admin.,married,secondary,no,no
720,54,technician,divorced,secondary,no,no
721,58,management,married,tertiary,no,no
722,52,blue-collar,married,primary,no,no
723,28,admin.,single,secondary,no,no
724,36,blue-collar,married,secondary,no,no
725,60,retired,married,primary,no,no
726,42,services,divorced,secondary,no,no
727,42,admin.,married,secondary,no,no
728,44,management,married,tertiary,no,no
729,51,blue-collar,divorced,primary,no,no
730,49,blue-collar,married,primary,no,no
731,47,entrepreneur,married,unknown,no,no
732,37,blue-collar,married,secondary,no,no
733,34,management,married,tertiary,no,no
734,35,services,married,secondary,no,no
735,35,blue-collar,single,secondary,no,no
736,40,blue-collar,married,primary,no,no
737,55,technician,married,secondary,no,no
738,55,retired,married,secondary,no,no
739,35,management,single,tertiary,no,no
740,57,blue-collar,married,primary,no,no
741,53,management,married,tertiary,no,no
742,41,blue-collar,married,primary,no,no
743,57,blue-collar,married,unknown,no,no
744,45,blue-collar,married,unknown,no,no
745,43,blue-collar,married,primary,no,no
746,56,self-employed,married,unknown,no,no
747,31,entrepreneur,married,tertiary,no,no
748,37,blue-collar,single,secondary,no,no
749,30,management,married,tertiary,no,no
750,30,admin.,single,secondary,no,no
751,54,blue-collar,married,secondary,no,no
752,36,management,married,tertiary,no,no
753,55,unemployed,married,tertiary,no,no
754,37,admin.,single,secondary,no,no
755,38,housemaid,married,secondary,no,no
756,48,admin.,married,secondary,no,no
757,55,housemaid,divorced,tertiary,no,no
758,59,services,married,secondary,no,no
759,37,technician,married,secondary,no,no
760,33,blue-collar,divorced,secondary,no,no
761,44,blue-collar,married,primary,no,no
