,balance,housing,loan,contact,day,y
299,792,yes,no,unknown,5,no
300,408,yes,no,unknown,5,no
301,531,yes,no,unknown,5,no
302,211,yes,no,unknown,5,no
303,62,yes,no,unknown,5,no
304,257,yes,no,unknown,5,no
305,1234,yes,no,unknown,5,no
306,313,yes,no,unknown,5,no
307,89,yes,no,unknown,5,no
308,129,yes,yes,unknown,5,no
309,0,yes,no,unknown,5,no
310,353,yes,no,unknown,5,no
311,851,yes,no,unknown,5,no
312,96,yes,yes,unknown,5,no
313,398,yes,yes,unknown,5,no
314,193,no,no,unknown,5,no
315,-358,yes,no,unknown,5,no
316,539,yes,yes,unknown,5,no
317,0,yes,no,unknown,5,no
318,0,no,no,unknown,5,no
319,490,yes,no,unknown,5,no
320,0,yes,no,unknown,5,no
321,403,yes,no,unknown,5,no
322,161,yes,no,unknown,5,no
323,2558,no,no,unknown,5,no
324,98,yes,no,unknown,5,no
325,115,no,no,unknown,5,no
326,436,yes,no,unknown,5,no
327,831,yes,no,unknown,5,no
328,206,yes,no,unknown,5,no
329,290,yes,no,unknown,5,no
330,1,no,no,unknown,5,no
331,57,yes,no,unknown,5,no
332,-457,yes,no,unknown,5,no
333,1387,yes,no,unknown,5,no
334,24598,yes,no,unknown,5,no
335,30,yes,no,unknown,5,no
336,1022,yes,no,unknown,5,no
337,56,yes,yes,unknown,5,no
338,-2,no,no,unknown,5,no
339,121,yes,no,unknown,5,no
340,842,yes,no,unknown,5,no
341,693,yes,no,unknown,5,no
342,-333,yes,no,unknown,5,no
343,1533,yes,no,unknown,5,no
344,46,yes,no,unknown,5,no
345,18,no,no,unknown,5,no
346,44,yes,no,unknown,5,no
347,-100,yes,no,unknown,5,no
348,510,yes,no,unknown,5,no
349,685,yes,no,unknown,5,no
350,187,yes,no,unknown,5,no
351,66,yes,no,unknown,5,no
352,560,yes,no,unknown,5,no
353,0,yes,no,unknown,5,no
354,27,no,no,unknown,5,no
355,12,yes,no,unknown,5,no
356,34,yes,no,unknown,5,no
357,1068,yes,no,unknown,5,no
358,211,yes,no,unknown,5,no
359,377,yes,no,unknown,5,no
360,263,yes,no,unknown,5,no
361,1263,yes,no,unknown,6,no
362,8,yes,no,unknown,6,no
363,126,yes,yes,unknown,6,no
364,230,yes,no,unknown,6,no
365,841,yes,no,unknown,6,no
366,308,yes,no,unknown,6,no
367,1,yes,no,unknown,6,no
368,86,yes,no,unknown,6,no
369,157,yes,no,unknown,6,no
370,22,yes,no,unknown,6,no
371,46,yes,yes,unknown,6,no
372,1293,no,no,unknown,6,no
373,122,yes,no,unknown,6,no
374,131,yes,no,unknown,6,no
375,143,yes,no,unknown,6,no
376,393,no,no,unknown,6,no
377,98,yes,no,unknown,6,no
378,0,yes,no,unknown,6,no
379,224,yes,no,unknown,6,no
380,757,yes,no,unknown,6,no
381,245,yes,yes,unknown,6,no
382,8486,no,no,unknown,6,no
383,350,no,no,unknown,6,no
384,20,yes,no,unknown,6,no
385,1667,yes,yes,unknown,6,no
386,345,yes,no,unknown,6,no
387,10,yes,no,unknown,6,no
388,830,yes,yes,unknown,6,yes
389,29,yes,no,unknown,6,no
390,545,yes,no,unknown,6,yes
391,8730,yes,no,unknown,6,no
392,477,yes,no,unknown,6,no
393,4,yes,no,unknown,6,no
394,1205,yes,no,unknown,6,no
395,0,yes,yes,unknown,6,no
396,263,yes,no,unknown,6,no
397,1,no,no,unknown,6,no
398,283,no,yes,unknown,6,no
399,206,yes,no,unknown,6,no
400,17,yes,no,unknown,6,no
401,141,yes,yes,unknown,6,no
402,16,yes,no,unknown,6,no
403,206,yes,no,unknown,6,no
404,7,no,no,unknown,6,no
405,0,no,no,unknown,6,no
406,0,no,no,unknown,6,no
407,1927,yes,no,unknown,6,no
408,284,yes,no,unknown,6,no
409,1660,yes,no,unknown,6,no
410,406,yes,no,unknown,6,no
411,230,yes,no,unknown,6,no
412,-25,yes,no,unknown,6,no
413,182,yes,no,unknown,6,no
414,1169,yes,no,unknown,6,no
415,67,yes,no,unknown,6,no
416,77,no,no,unknown,6,no
417,0,yes,no,unknown,6,no
418,55,yes,yes,unknown,6,no
419,72,yes,no,unknown,6,no
420,163,yes,no,unknown,6,no
421,151,yes,no,unknown,6,no
422,113,yes,no,unknown,6,no
423,0,yes,no,unknown,6,no
424,9,yes,no,unknown,6,no
425,375,yes,no,unknown,6,no
426,1142,yes,no,unknown,6,no
427,2102,yes,no,unknown,6,no
428,4325,yes,no,unknown,6,no
429,217,yes,no,unknown,6,no
430,131,yes,no,unknown,6,no
431,1680,yes,no,unknown,6,no
432,0,yes,no,unknown,6,no
433,46,yes,no,unknown,6,no
434,320,yes,no,unknown,6,no
435,183,yes,no,unknown,6,no
436,39,no,no,unknown,6,no
437,560,yes,no,unknown,6,no
438,469,no,no,unknown,6,no
439,530,yes,no,unknown,6,no
440,61,yes,no,unknown,6,no
441,242,yes,no,unknown,6,no
442,139,yes,no,unknown,6,no
443,0,yes,no,unknown,6,no
444,367,yes,no,unknown,6,no
445,228,yes,no,unknown,6,no
446,45248,yes,no,unknown,6,yes
447,-84,yes,no,unknown,6,no
448,310,yes,no,unknown,6,no
449,132,yes,no,unknown,6,no
450,797,yes,no,unknown,6,no
451,71,no,no,unknown,6,no
452,2,yes,no,unknown,6,no
453,231,yes,yes,unknown,6,no
454,270,yes,yes,unknown,6,no
455,274,yes,yes,unknown,6,no
456,-109,yes,yes,unknown,6,no
457,1,yes,no,unknown,6,yes
458,-60,no,no,unknown,6,no
459,89,yes,no,unknown,6,no
460,-11,no,no,unknown,6,no
461,0,yes,no,unknown,6,no
462,-509,yes,no,unknown,6,no
463,408,yes,no,unknown,6,no
464,58,yes,no,unknown,6,no
465,1640,no,yes,unknown,6,no
466,20,yes,no,unknown,6,no
467,71,yes,no,unknown,6,no
468,52,yes,no,unknown,6,no
469,292,yes,no,unknown,6,no
470,424,yes,no,unknown,6,no
471,109,yes,no,unknown,6,no
472,1044,yes,no,unknown,6,no
473,983,yes,no,unknown,6,no
474,869,no,no,unknown,6,yes
475,668,yes,no,unknown,6,no
476,964,yes,no,unknown,6,no
477,301,yes,no,unknown,6,no
478,140,yes,no,unknown,6,no
479,1877,yes,no,unknown,6,no
480,1127,yes,no,unknown,6,no
481,871,yes,no,unknown,6,no
482,767,yes,yes,unknown,6,no
483,0,no,no,unknown,6,no
484,209,yes,no,unknown,6,no
485,0,no,no,unknown,6,no
486,110,yes,yes,unknown,6,no
487,-76,yes,yes,unknown,6,no
488,178,yes,no,unknown,6,no
489,-66,yes,no,unknown,6,no
490,0,yes,no,unknown,6,no
491,1,yes,no,unknown,6,no
492,0,yes,no,unknown,6,no
493,5345,no,no,unknown,6,no
494,-209,yes,no,unknown,6,no
495,0,yes,no,unknown,6,no
496,42,yes,no,unknown,6,no
497,41,yes,no,unknown,6,no
498,-99,yes,no,unknown,6,no
499,17,yes,no,unknown,6,no
500,276,yes,yes,unknown,6,no
501,-170,no,no,unknown,6,no
502,230,yes,yes,unknown,6,no
503,9,yes,no,unknown,6,no
504,946,yes,no,unknown,6,no
505,1297,yes,no,unknown,6,no
506,-331,yes,no,unknown,6,no
507,44,yes,no,unknown,6,no
508,15,no,no,unknown,6,no
509,712,yes,no,unknown,6,no
510,5435,yes,no,unknown,6,no
511,507,yes,no,unknown,6,no
512,387,yes,no,unknown,6,yes
513,0,yes,yes,unknown,6,no
514,1716,yes,no,unknown,6,no
515,167,yes,yes,unknown,6,no
516,40,no,yes,unknown,6,no
517,148,yes,no,unknown,6,no
518,17,yes,yes,unknown,6,no
519,1011,yes,no,unknown,6,no
520,1527,yes,no,unknown,6,no
521,744,no,no,unknown,6,no
522,484,yes,no,unknown,6,no
523,0,yes,no,unknown,6,no
524,136,yes,no,unknown,6,no
525,1335,yes,no,unknown,6,no
526,517,yes,no,unknown,6,no
527,459,yes,no,unknown,6,no
528,549,yes,no,unknown,6,no
529,83,yes,yes,unknown,6,no
530,213,no,no,unknown,6,no
531,203,yes,no,unknown,6,no
532,518,yes,no,unknown,6,no
533,3877,yes,no,unknown,6,no
534,1236,yes,no,unknown,6,no
535,756,yes,no,unknown,6,no
536,157,yes,no,unknown,6,no
537,-66,yes,no,unknown,6,no
538,245,yes,no,unknown,6,no
539,-144,yes,no,unknown,6,no
540,71,yes,no,unknown,6,no
541,505,yes,no,unknown,6,no
542,249,yes,no,unknown,6,no
543,0,yes,no,unknown,6,no
544,11,yes,no,unknown,6,no
545,639,yes,no,unknown,6,no
546,124,yes,no,unknown,6,no
547,82,yes,no,unknown,6,no
548,107,yes,no,unknown,6,no
549,473,yes,no,unknown,6,no
550,372,yes,yes,unknown,6,no
551,46,yes,no,unknown,6,no
552,34,yes,no,unknown,6,no
553,935,yes,no,unknown,6,no
554,-10,yes,no,unknown,6,no
555,-106,yes,no,unknown,6,no
556,471,yes,no,unknown,6,no
557,778,yes,no,unknown,6,no
558,170,yes,no,unknown,6,no
559,315,yes,no,unknown,6,no
560,3165,no,no,unknown,6,no
561,131,yes,no,unknown,6,no
562,204,yes,no,unknown,6,no
563,83,yes,no,unknown,6,no
564,0,yes,yes,unknown,6,no
565,5431,yes,yes,unknown,6,no
566,1759,yes,no,unknown,6,no
567,-125,yes,no,unknown,6,no
568,0,no,no,unknown,6,no
569,5090,yes,no,unknown,6,yes
570,573,yes,no,unknown,6,no
571,1602,yes,no,unknown,6,no
572,-137,yes,yes,unknown,6,no
573,0,no,no,unknown,6,no
574,193,no,no,unknown,6,no
575,195,yes,yes,unknown,6,no
576,288,no,no,unknown,6,no
577,19,yes,no,unknown,6,no
578,25,yes,no,unknown,6,no
579,216,yes,no,unknown,6,no
580,190,yes,yes,unknown,6,no
581,99,yes,no,unknown,6,no
582,2298,yes,no,unknown,6,no
583,17,yes,no,unknown,6,no
584,0,yes,no,unknown,6,no
585,0,yes,no,unknown,6,no
586,840,yes,no,unknown,6,no
587,358,yes,no,unknown,6,no
588,0,yes,no,unknown,6,no
589,-325,yes,yes,unknown,6,no
590,-15,yes,no,unknown,6,no
591,581,yes,no,unknown,6,no
592,4070,yes,no,unknown,6,no
593,74,no,yes,unknown,6,no
594,141,yes,no,unknown,6,no
595,89,no,no,unknown,6,no
596,0,yes,no,unknown,6,no
597,450,no,no,unknown,6,no
598,310,no,no,unknown,6,no
599,0,yes,no,unknown,6,no
600,384,yes,no,unknown,6,no
601,395,yes,no,unknown,6,no
602,-118,yes,no,unknown,6,no
603,5,yes,yes,unknown,6,no
604,50,yes,yes,unknown,6,no
605,285,yes,yes,unknown,6,no
606,15,no,no,unknown,6,no
607,653,yes,yes,unknown,6,no
608,918,yes,no,unknown,6,no
609,243,yes,yes,unknown,6,no
610,405,yes,no,unknown,6,no
611,1328,yes,no,unknown,6,no
612,255,yes,no,unknown,6,no
613,3397,yes,no,unknown,6,no
614,2106,yes,no,unknown,6,no
615,2877,yes,no,unknown,6,no
616,60,yes,yes,unknown,6,no
617,2226,yes,no,unknown,6,no
618,2880,yes,no,unknown,6,no
619,-5,yes,no,unknown,6,no
620,147,no,no,unknown,6,no
621,7,yes,yes,unknown,6,no
622,109,yes,no,unknown,6,no
623,-119,yes,no,unknown,6,no
624,484,yes,no,unknown,6,yes
625,1852,yes,no,unknown,6,no
626,533,yes,no,unknown,6,no
627,21,yes,no,unknown,6,no
628,2434,yes,no,unknown,6,no
629,90,yes,yes,unknown,6,no
630,4246,yes,no,unknown,6,no
631,395,yes,no,unknown,6,no
632,15,yes,no,unknown,6,no
633,85,no,no,unknown,6,no
634,-184,yes,yes,unknown,6,no
635,660,no,no,unknown,6,no
636,-183,yes,no,unknown,6,no
637,1144,yes,no,unknown,6,no
638,1,yes,no,unknown,6,no
639,69,yes,yes,unknown,6,no
640,220,yes,no,unknown,6,no
641,332,yes,no,unknown,6,no
642,240,yes,no,unknown,6,no
643,0,yes,no,unknown,6,no
644,0,yes,no,unknown,6,no
645,898,yes,no,unknown,6,no
646,123,yes,yes,unknown,6,no
647,252,yes,no,unknown,6,no
648,65,yes,no,unknown,6,no
649,-366,yes,yes,unknown,6,no
650,209,yes,no,unknown,6,no
651,221,yes,no,unknown,6,no
652,4,yes,no,unknown,6,no
653,104,yes,no,unknown,6,no
654,312,yes,no,unknown,6,no
655,-349,yes,no,unknown,6,no
656,4,no,no,unknown,6,no
657,-322,yes,yes,unknown,6,no
658,-150,yes,no,unknown,6,no
659,1349,yes,no,unknown,6,no
660,281,yes,no,unknown,6,no
661,1259,yes,no,unknown,6,no
662,101,yes,no,unknown,6,no
663,848,yes,no,unknown,6,no
664,89,yes,no,unknown,6,no
665,140,yes,no,unknown,6,no
666,148,yes,no,unknown,6,no
667,200,yes,no,unknown,6,no
668,46,yes,no,unknown,6,no
669,201,yes,no,unknown,6,no
670,530,yes,no,unknown,6,no
671,0,yes,no,unknown,6,no
672,1,yes,no,unknown,6,no
673,43,yes,no,unknown,6,no
674,-173,yes,no,unknown,6,no
675,389,yes,no,unknown,6,no
676,215,yes,yes,unknown,6,no
677,-131,yes,no,unknown,6,no
678,783,yes,no,unknown,6,no
679,0,yes,no,unknown,6,no
680,80,yes,no,unknown,6,no
681,105,yes,no,unknown,6,no
682,182,yes,yes,unknown,6,no
683,82,yes,no,unknown,6,no
684,0,yes,no,unknown,6,no
685,510,yes,no,unknown,6,no
686,242,yes,no,unknown,6,no
687,244,yes,yes,unknown,6,no
688,92,yes,no,unknown,6,no
689,0,yes,no,unknown,6,no
690,948,yes,no,unknown,6,no
691,23,yes,no,unknown,6,no
692,710,yes,no,unknown,6,no
693,1205,yes,no,unknown,6,no
694,368,yes,yes,unknown,6,yes
695,1631,yes,no,unknown,6,no
696,6,yes,no,unknown,6,no
697,26,yes,no,unknown,6,no
698,-48,yes,no,unknown,6,no
699,2142,yes,no,unknown,6,no
700,77,yes,yes,unknown,6,no
701,401,yes,no,unknown,6,no
702,21,no,no,unknown,6,no
703,0,yes,no,unknown,6,no
704,-497,yes,no,unknown,6,no
705,369,no,no,unknown,6,no
706,78,yes,no,unknown,6,no
707,226,yes,yes,unknown,6,no
708,503,yes,no,unknown,6,no
709,372,yes,no,unknown,6,no
710,0,yes,yes,unknown,6,no
711,0,yes,no,unknown,6,no
712,125,yes,no,unknown,6,no
713,4,yes,no,unknown,6,no
714,419,yes,no,unknown,6,no
715,322,yes,no,unknown,6,no
716,303,yes,no,unknown,6,no
717,607,yes,no,unknown,6,no
718,579,yes,no,unknown,6,no
719,3047,yes,no,unknown,6,no
720,83,yes,no,unknown,6,no
721,68,yes,no,unknown,6,no
722,58,yes,no,unknown,6,no
723,251,yes,no,unknown,6,no
724,688,yes,no,unknown,6,no
725,364,yes,no,unknown,6,no
726,55,yes,no,unknown,6,no
727,101,yes,no,unknown,6,no
728,105,yes,no,unknown,6,no
729,325,yes,no,unknown,6,no
730,198,yes,no,unknown,6,no
731,209,yes,no,unknown,6,no
732,183,yes,no,unknown,6,no
733,105,yes,no,unknown,6,no
734,109,yes,no,unknown,6,no
735,376,yes,yes,unknown,6,no
736,-7,yes,no,unknown,6,no
737,0,no,no,unknown,6,no
738,143,yes,no,unknown,6,no
739,550,yes,no,unknown,6,no
740,162,yes,no,unknown,6,no
741,115,yes,no,unknown,6,no
742,512,yes,no,unknown,6,no
743,807,yes,no,unknown,6,no
744,248,yes,no,unknown,6,no
745,1211,yes,no,unknown,6,no
746,7,no,no,unknown,6,no
747,281,yes,no,unknown,6,no
748,88,yes,no,unknown,6,no
749,32,yes,no,unknown,6,no
750,115,yes,no,unknown,6,no
751,254,yes,no,unknown,6,no
752,144,yes,no,unknown,6,no
753,383,no,no,unknown,6,no
754,569,yes,yes,unknown,6,no
755,0,yes,no,unknown,6,no
756,3754,yes,no,unknown,6,no
757,6920,yes,no,unknown,6,no
758,307,yes,yes,unknown,6,no
759,-421,yes,no,unknown,6,no
760,60,no,no,unknown,6,no
761,67,yes,no,unknown,6,no
762,402,yes,no,unknown,6,no
763,800,no,no,unknown,6,no
764,239,yes,yes,unknown,6,no
765,421,yes,no,unknown,6,no
766,161,yes,no,unknown,7,no
767,289,no,no,unknown,7,no
768,110,yes,no,unknown,7,no
769,245,yes,no,unknown,7,no
770,0,yes,no,unknown,7,no
771,156,yes,no,unknown,7,no
772,0,yes,no,unknown,7,no
773,20,yes,no,unknown,7,no
774,92,yes,no,unknown,7,no
775,89,yes,no,unknown,7,no
776,166,yes,no,unknown,7,no
777,103,yes,no,unknown,7,no
778,-454,yes,no,unknown,7,no
779,445,yes,no,unknown,7,no
780,4,no,no,unknown,7,no
781,1001,yes,no,unknown,7,no
782,-69,yes,no,unknown,7,no
783,42,yes,no,unknown,7,no
784,1617,yes,no,unknown,7,no
785,221,yes,no,unknown,7,no
786,210,yes,yes,unknown,7,no
787,0,no,no,unknown,7,no
788,185,yes,no,unknown,7,no
789,836,yes,no,unknown,7,no
790,301,yes,no,unknown,7,no
791,503,yes,no,unknown,7,no
792,407,yes,no,unknown,7,no
793,53,yes,no,unknown,7,no
794,2303,yes,no,unknown,7,no
795,144,yes,no,unknown,7,no
796,205,yes,no,unknown,7,no
797,305,yes,no,unknown,7,no
798,251,yes,yes,unknown,7,no
799,0,yes,no,unknown,7,no
800,8,no,no,unknown,7,no
801,139,yes,no,unknown,7,no
802,184,yes,no,unknown,7,no
803,238,yes,no,unknown,7,no
804,0,no,no,unknown,7,no
805,0,yes,no,unknown,7,no
806,222,yes,no,unknown,7,no
807,414,yes,no,unknown,7,no
808,223,yes,no,unknown,7,no
809,197,no,no,unknown,7,no
